tieu_de,dia_chi,mo_ta,loai_hinh,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,quan,gia_ban_num,dien_tich_num,dien_tich_dat_num,dien_tich_su_dung_num,chieu_ngang_num,chieu_dai_num,gia_m2_num,log_gia_ban,so_phong_ve_sinh_missing,tong_so_tang_missing,chieu_ngang_num_missing,chieu_dai_num_missing,kw_mat_tien,kw_hem_xe_hoi,kw_so_hong,kw_gan_cho,kw_gan_truong,kw_thuong_mai,kw_nha_pho,is_outlier_any_6cols,outlier_count_6cols
🛎️ NHÀ LỚN HẺM ÔTÔ NGAY HÀNG XANH – TIỆN XÂY MỚI – CHỈ 8.5 TỶ,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","#e45
🛎️ NHÀ LỚN HẺM ÔTÔ NGAY HÀNG XANH – TIỆN XÂY MỚI – CHỈ 8.5 TỶ

DT: 7,35m x 11,35m, trệt + gác, 3P.Ngủ, 2WC
📍 Xô Viết Nghệ Tĩnh, P.21, Bình Thạnh

Hẻm xe hơi đỗ cửa, gần Ngã tư Hàng Xanh, tiện ích đủ

Sổ hồng riêng, công chứng nhanh
☎️Zalo *** Tùng","Nhà ngõ, hẻm",Đã có sổ,3.0,3,2,Không rõ,Không rõ,Binh Thanh,8.5,83.0,83.0,83.0,7.5,11.5,102.41,2.2512917986064958,1,1,0,0,0,1,1,0,0,0,0,True,1
BÁN NHÀ 2 TẦNG HẺM BẠCH ĐẰNG,"Đường Bạch Đằng, Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","Nhà hẻm Bạch Đằng 
Dân cư an ninh, yên tĩnh
Gần chợ, trường học, 
Pháp lý chuẩn, sổ sẵn","Nhà ngõ, hẻm",Đã có sổ,5.0,3,2,Không rõ,Không rõ,Binh Thanh,13.0,120.0,120.0,166.0,5.6,21.0,108.33,2.6390573296152584,0,0,0,0,0,0,0,1,1,0,0,True,1
"NHÀ 5LẦU MẶT TIỀN ĐƯỜNG NGUYỄN VĂN THƯƠNG,P25,BT.Đoạn KD sầm uất, 9pn.","89, Đường Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","$-) 25,8ty TL - BÁN TÒA NHÀ VP, MẶT TIỀN SỐ 89 NGUYỄN VĂN THƯƠNG, P25 , BÌNH THẠNH – Khu văn phòng cty, kinh doanh sầm uất, kế TTTM Pearl Plaza, Ga Metr.
/-rose trả phí môi giới : 1% 

✅ Diện Tích: 4 x 20m ( ban công trước sau )

✅ Dtcn : 62.6m²

✅ dt sàn hoàn công : 315m²

✅ Kết Cấu: 5 Tầng gồm 10phòng suốt + 5wc – có thang máy! Thiết Kế Hiện Đại, Thích Hợp Làm Văn Phòng cty , trung tâm Anh Ngữ , Căn Hộ DV , Spa… khai thác cho thuê doanh thu 850tr/năm.

✅ Vị Trí Đẹp – kế TTTM Pearl Plaza, Ga Metro Trường Đại Học Hutech, GTVT, Ngoại Thương, Hồng Bàng … Cách Trung Tâm Q1 Chỉ 5 Phút

✅ Khu Kinh Doanh Sầm Uất – Lý Tưởng Để Ở Kết Hợp Khai Thác Dòng Tiền Cho Thuê…

$-) Giá Bán: 25,8ty tl ( hỗ trợ mua Bank )","Nhà mặt phố, mặt tiền",Đã có sổ,9.0,5,5,Nội thất đầy đủ,Không rõ,Binh Thanh,25.8,80.0,80.0,320.0,4.0,20.0,322.5,3.288401887516811,0,0,0,0,1,0,0,0,1,1,1,True,1
"Biệt thự 3Tầng Bình Lợi ven sông Sài Gòn 10x20m(200m2) giá bán 24,5 tỷ","Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","Cần bán gấp biệt thự ven sông Sài Gòn đường Bình Lợi, P13, Bình Thạnh

+ Diện tích 10m x 20m.

+ Nhà 1 trệt 2 lầu.

+ 5 phòng ngủ 5 nhà vệ sinh, gara ô tô.

+ Sân rộng để 3 chiếc ô tô 10 chiếc xe máy thoải mái, có thể cải tạo lại thành sân vườn.

+ Nhà nằm trong khu biệt thự ven sông Sài Gòn, quanh năm mát mẻ.

+ Sạch sẽ an ninh, dân trí cao văn minh yên tĩnh.

+ Sổ đẹp vuông vức hoàn công đầy đủ.

+ Giá bán 24,5 tỷ bớt lộc.",Nhà biệt thự,Đã có sổ,5.0,5,3,Không rõ,Hẻm xe hơi,Binh Thanh,24.5,200.0,200.0,317.0,10.0,20.0,122.5,3.2386784521643803,0,0,0,0,0,0,0,0,0,0,1,True,2
"NHÀ MẶT TIỀN 5LẦU ĐƯỜNG NGUYỄN VĂN THƯƠNG (D1 cũ) P25,BT. 9PN - 5wc.","89, Đường Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","$-) 25,8ty TL - BÁN TÒA NHÀ VP, MẶT TIỀN SỐ 89 NGUYỄN VĂN THƯƠNG, P25 , BÌNH THẠNH – Khu văn phòng cty, kinh doanh sầm uất, kế TTTM Pearl Plaza, Ga Metr.
/-rose trả phí môi giới : 1%

✅ Diện Tích: 4 x 20m ( ban công trước sau )

✅ Dtcn : 62.6m²

✅ dt sàn hoàn công : 315m²

✅ Kết Cấu: 5 Tầng gồm 10phòng suốt + 5wc – có thang máy! Thiết Kế Hiện Đại, Thích Hợp Làm Văn Phòng cty , trung tâm Anh Ngữ , Căn Hộ DV , Spa… khai thác cho thuê doanh thu 850tr/năm.

✅ Vị Trí Đẹp – kế TTTM Pearl Plaza, Ga Metro Trường Đại Học Hutech, GTVT, Ngoại Thương, Hồng Bàng … Cách Trung Tâm Q1 Chỉ 5 Phút

✅ Khu Kinh Doanh Sầm Uất – Lý Tưởng Để Ở Kết Hợp Khai Thác Dòng Tiền Cho Thuê…

$-) Giá Bán: 25,8ty tl ( hỗ trợ mua Bank )","Nhà mặt phố, mặt tiền",Đã có sổ,9.0,5,5,Nội thất đầy đủ,Nhà nở hậu,Binh Thanh,25.8,80.0,80.0,320.0,4.0,20.0,322.5,3.288401887516811,0,0,0,0,1,0,0,0,1,1,1,True,1
"Đinh Bộ Lĩnh giáp Điện Biên Phủ ,P 15 ,Bình Thạnh .dt:4.5x 24 , 130m2","Đường Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","Đinh Bộ Lĩnh giáp Điện Biên Phủ .Phường 15 , Bình Thạnh .

Dt: 4.5x 24 , 130m2, 10.8 tỷ TL 

+ Chính chủ gấp bán.
+ Diện tích lớn tiện xây CHDV gần 5 trường ĐH lớn
+ Gần ngay ngã tư hàng xanh, ngân hàng, trường học, bệnh viện, tiện qua quận 1.

☎️ LH: *** Tuyết Lâm Nhà Đẹp 
Tuyết Lâm Nhà Đẹp
Chuyên BĐS Dòng Tiền 
Các Quận Trung Tâm","Nhà ngõ, hẻm",Đã có sổ,11.0,7,2,Hoàn thiện cơ bản,Không rõ,Binh Thanh,10.8,130.0,130.0,130.0,4.5,24.0,83.08,2.468099531471619,0,0,0,0,0,0,1,0,1,0,0,True,2
Bán biệt thự 12x14 hầm + 3 lầu,"Đường Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Bán biệt thự nở hậu, khu an ninh, đường nội bộ 10m, tiện ích xung quanh đầy đủ.
- Diện tích: 12,15 x 13,70
- Kết cấu : bán hầm + 3 lầu
- 5 PN, 6 WC, nội thất gỗ cao cấp,
- Sổ hồng đầu đủ
- Giá 62 tỷ",Nhà biệt thự,Đã có sổ,5.0,6,4,Nội thất cao cấp,Không rõ,Binh Thanh,62.0,303.0,303.0,682.7,12.15,22.75,204.62,4.143134726391533,0,0,0,0,0,0,1,0,0,0,1,True,2
"Homestay Garden 11Phong,Dòng Tiền 1ty5/nam,110m2 Ngay VincomNguyễn Xí","Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","💥 BÁN HOMESTAY NGUYỄN XÍ DÒNG TIỀN MẠNH HƠN 1,5 TỶ/ NĂM – NỞ HẬU TÀI LỘC – XE HƠI NGỦ TRONG NHÀ - SÂN VƯỜN CỰC CHILL - HỖ TRỢ VAY BANK TỐI ĐA
🏢 TÒA NHÀ KINH DOANH HOMESTAY + SÂN VƯỜN KINH DOANH CÀ PHÊ + CHO THUÊ ĐỊA ĐIỂM OFFLINE
📍 Nguyễn Xí, P26, Bình Thạnh, ngay chung cư Richmond 
📐 Diện tích đất: 110m2 diện tích đất sử dụng thực tế 150m2. SIÊU RỘNG 
☀️ Hẻm xe hơi thông, xe hơi ngủ trong nhà
📜 Sổ hồng riêng – hoàn công đầy đủ 
💰 DÒNG TIỀN ỔN ĐỊNH 140triệu/tháng | 1,5 tỷ/năm
• Tỷ suất lợi nhuận CAO - giữ tiền - tạo dòng tiền tốt
• Đang vận hành hết công suất – hỗ trợ quản lý Airbnb - CÓ GIẤY PHÉP KINH DOANH
🛋 FULL NỘI THẤT CAO CẤP – THANG MÁY SANG TRỌNG - VẬN HÀNH NGAY
• Mỗi phòng: máy lạnh, bếp, giường tủ, WC riêng...
• Hệ thống an ninh: khoá vân tay, camera, PCCC
• Tầng trệt rộng rãi kinh doanh cà phê sân vườn... Gần chợ, siêu thị, công viên, trường học, BV Quốc tế, cafe, gym…
✈ Kết nối trực tiếp trục Phạm Văn Đồng - Sân bay Tân Sơn Nhất - ngã tư Hàng Xanh - Trung tâm Thành phố
👉 Giá 25,2 tỷ, thương lượng khách thiện chí - hãy đến tận địa chỉ trải nghiệm giá trị căn nhà.","Nhà ngõ, hẻm",Đã có sổ,11.0,7,5,Không rõ,Hẻm xe hơi,Binh Thanh,25.2,110.0,110.0,110.0,5.73560151241541,18.92651885958228,229.09,3.265759410767051,0,0,1,1,0,1,1,1,1,1,0,True,1
🌿 VIP – BIỆT THỰ MINI ĐÁNG SỐNG 🌿,"Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","🌿 VIP – BIỆT THỰ MINI ĐÁNG SỐNG 🌿
📍 Ngay Đại học Văn Lang – Bình Thạnh
🏡 Không gian ở – nghỉ dưỡng – đầu tư đều chuẩn
✨ Có những căn nhà sinh ra không phải để so sánh…
Mà để dành cho người muốn sống khác – sống chất – sống lâu dài.
🔹 Diện tích: 6 x 20m – vuông vức, đẹp hiếm
🔹 Kết cấu:
Hầm – Trệt – Lửng – 3 Lầu – Sân thượng
➡️ 5 Phòng ngủ – 6 WC – phòng khách lớn – bếp rộng
🔹 Vị trí: Ngay ĐH Văn Lang, khu dân cư cao cấp
➡️ Ở cực sướng – làm CHDV / căn hộ cho thuê dòng tiền rất tốt
🔹 Khu vực yên tĩnh – văn minh – cực kỳ đáng sống
📜 Pháp lý: Sổ chuẩn, công chứng ngay
(xứng tầm vị trí & đẳng cấp)
Lh ngay : QUỐC KIỆT NHÀ PHỐ",Nhà biệt thự,Đã có sổ,5.0,6,6,Nội thất đầy đủ,Hẻm xe hơi,Binh Thanh,22.0,120.0,120.0,600.0,6.0,20.0,183.33,3.1354942159291497,0,0,0,0,0,0,0,0,0,0,1,True,1
Nhà bán bình thạnh,"Huỳnh Đình Hai, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","💢 Nhà Bình Thạnh.đường Huỳnh Đình Hai . HCM

+ 1 trệt, 1 lửng, 1 phòng ngủ, 1 toilet.

👉 Khu vực gần chợ Bà Chiểu, gần Bệnh Viện Gia Định , có rất nhiều tiện ích xung quanh, gần TRUNG TÂM Q.1 

+ sổ hồng riêng

☎️ *** A. Hùng","Nhà ngõ, hẻm",Đã có sổ,1.0,1,2,Hoàn thiện cơ bản,Không rõ,Binh Thanh,2.7,31.0,31.0,31.0,2.0,12.0,87.1,1.308332819650179,0,0,0,0,0,0,1,1,0,0,0,True,1
